chr1,853364,853913,3.59
chr1,853390,853842,4.00
chr1,2142107,2142592,2.76
chr1,3492935,3493398,3.11
chr1,7829712,7830166,4.30
chr1,171210517,171210999,2.71
chr1,201209614,201210122,9.24
chr2,241093216,241093701,3.29
chr2,241810481,241810932,1.51
chr2,242003258,242003918,1.00
chr2,242003951,242004479,0.31
chr3,75737836,75738740,4.72
chr3,195618868,195619439,0.00
chr3,195619013,195619584,0.57
chr3,195725008,195725864,0.75
chr4,1640944,1641401,2.70
chr4,3511643,3512096,2.13
chr4,87615720,87616192,3.40
chr5,467534,468026,2.30
chr5,467680,468586,3.20
chr5,7300458,7301131,0.60
chr5,34190850,34192061,4.08
chr5,34191740,34192956,3.00
chr5,179871546,179872087,1.34
chr6,30987125,30987595,0.03
chr6,169664650,169665112,2.61
chr6,170266624,170267907,1.65
chr7,55237455,55237907,2.94
chr7,149865634,149866118,3.23
chr8,11782563,11783090,3.13
chr8,12182889,12183393,4.44
chr8,143860546,143862547,0.80
chr9,37918167,37918626,2.67
chr9,133071040,133071505,1.56
chr9,136251800,136252285,2.61
chr10,1201587,1202057,2.29
chr11,639803,640299,1.07
chr11,134375533,134376071,1.25
chr12,10882236,10882699,0.80
chr12,131366822,131367653,4.09
chr12,132758918,132759405,1.64
chr13,112884535,112884994,1.62
chr13,113841466,113841948,2.68
chr14,104949725,104951610,2.73
chr15,22465819,22466275,2.52
chr15,23136385,23136839,0.83
chr15,28842710,28843173,1.96
chr15,82997538,82998068,0.99
chr15,88855307,88855821,1.40
chr16,406545,407001,1.42
chr16,631527,632086,0.68
chr16,665014,665464,1.14
chr16,3054146,3054614,3.39
chr16,15104203,15104674,1.95
chr16,15363465,15363936,2.15
chr16,29383111,29383889,2.66
chr16,29383582,29384106,2.19
chr16,29383875,29384332,2.46
chr16,30223622,30224091,0.77
chr17,413596,414057,1.97
chr17,513558,514096,3.10
chr17,4714363,4714863,2.15
chr17,41041048,41041586,3.38
chr17,41105290,41105810,2.06
chr17,41117754,41118259,0.98
chr17,41123662,41124182,1.82
chr17,41167622,41168112,3.85
chr17,60042149,60042622,3.27
chr17,77561452,77562222,3.78
chr17,82448046,82448608,0.48
chr17,83134448,83134900,1.59
chr18,79144782,79146136,2.68
chr19,2835934,2836389,3.52
chr19,7765533,7766002,2.31
chr19,58258197,58258687,2.24
chr19,58405045,58405621,2.07
chr19,58599965,58600459,3.65
chr19,58600084,58600763,4.15
chr21,45506915,45507380,0.76
chr22,15689940,15690451,5.60
chr22,21183470,21184089,5.14
chr22,50547670,50548142,0.64
chrX,153126152,153126930,1.74
