chr1,853364,853913,74.20
chr1,853390,853842,67.95
chr1,2142107,2142592,38.83
chr1,3492935,3493398,30.51
chr1,7829712,7830166,68.66
chr1,171210517,171210999,83.65
chr1,201209614,201210122,97.24
chr2,241093216,241093701,54.80
chr2,241810481,241810932,27.02
chr2,242003258,242003918,29.10
chr2,242003951,242004479,39.52
chr3,75737836,75738740,117.57
chr3,195618868,195619439,42.81
chr3,195619013,195619584,40.52
chr3,195725008,195725864,23.37
chr4,1640944,1641401,50.26
chr4,3511643,3512096,32.56
chr4,87615720,87616192,45.89
chr5,467534,468026,41.65
chr5,467680,468586,48.65
chr5,7300458,7301131,18.53
chr5,34190850,34192061,140.11
chr5,34191740,34192956,121.71
chr5,179871546,179872087,26.99
chr6,30987125,30987595,66.29
chr6,169664650,169665112,51.34
chr6,170266624,170267907,20.52
chr7,55237455,55237907,55.28
chr7,149865634,149866118,43.49
chr8,11782563,11783090,68.80
chr8,12182889,12183393,64.55
chr8,143860546,143862547,39.47
chr9,37918167,37918626,35.90
chr9,133071040,133071505,30.03
chr9,136251800,136252285,34.42
chr10,1201587,1202057,61.46
chr11,639803,640299,28.44
chr11,134375533,134376071,45.02
chr12,10882236,10882699,45.79
chr12,131366822,131367653,70.69
chr12,132758918,132759405,40.13
chr13,112884535,112884994,66.47
chr13,113841466,113841948,43.18
chr14,104949725,104951610,39.03
chr15,22465819,22466275,78.39
chr15,23136385,23136839,34.62
chr15,28842710,28843173,34.78
chr15,82997538,82998068,39.15
chr15,88855307,88855821,58.09
chr16,406545,407001,36.88
chr16,631527,632086,33.06
chr16,665014,665464,35.00
chr16,3054146,3054614,65.17
chr16,15104203,15104674,63.39
chr16,15363465,15363936,54.87
chr16,29383111,29383889,43.31
chr16,29383582,29384106,50.59
chr16,29383875,29384332,58.74
chr16,30223622,30224091,88.33
chr17,413596,414057,39.94
chr17,513558,514096,59.16
chr17,4714363,4714863,42.03
chr17,41041048,41041586,51.22
chr17,41105290,41105810,41.06
chr17,41117754,41118259,39.57
chr17,41123662,41124182,36.59
chr17,41167622,41168112,51.49
chr17,60042149,60042622,71.00
chr17,77561452,77562222,65.18
chr17,82448046,82448608,55.35
chr17,83134448,83134900,57.90
chr18,79144782,79146136,48.88
chr19,2835934,2836389,48.34
chr19,7765533,7766002,65.20
chr19,58258197,58258687,40.16
chr19,58405045,58405621,38.42
chr19,58599965,58600459,160.01
chr19,58600084,58600763,150.15
chr21,45506915,45507380,23.95
chr22,15689940,15690451,63.90
chr22,21183470,21184089,109.19
chr22,50547670,50548142,15.17
chrX,153126152,153126930,38.58
